"doi","container.title","title","author","type","publisher"
"10.1128/br.40.3.552-590.1976","Bacteriological Reviews","Extrachromosomal elements as possible agents of adaptation and development","D","journal-article","American Society for Microbiology"
"10.1038/ncomms13881","Nature Communications","Topologically protected modes in non-equilibrium stochastic systems","Arvind","journal-article","Springer Science and Business Media LLC"
"10.1093/nar/gkq763","Nucleic Acids Research","Modular pathways for editing non-cognate amino acids by human cytoplasmic leucyl-tRNA synthetase","Xin","journal-article","Oxford University Press (OUP)"
"10.1038/embor.2011.83","EMBO reports","Life's demons: information and order in biology","Philippe M","journal-article","Springer Science and Business Media LLC"
"10.1007/s10522-008-9171-5","Biogerontology","Natural selection and immortality","Antoine","journal-article","Springer Science and Business Media LLC"
"10.1002/2211-5463.12362","FEBS Open Bio","Kinetic analysis of the isoleucyl‐tRNA synthetase mechanism: the next reaction cycle can start before the previous one ends","R. Kalervo","journal-article","Wiley"
"10.1103/physrevx.11.031055","Physical Review X","Self-Assembly of Informational Polymers by Templated Ligation","http://orcid.org/0000-0001-8190-8966","journal-article","American Physical Society (APS)"
"10.1103/physrevx.11.031015","Physical Review X","Topology Protects Chiral Edge Currents in Stochastic Systems","http://orcid.org/0000-0002-8274-8850","journal-article","American Physical Society (APS)"
"10.1103/physrevx.10.011066","Physical Review X","Universal Thermodynamic Bounds on Nonequilibrium Response with Biochemical Applications","http://orcid.org/0000-0002-9180-3794","journal-article","American Physical Society (APS)"
"10.1103/physrevx.9.041054","Physical Review X","Linker-Mediated Phase Behavior of DNA-Coated Colloids","http://orcid.org/0000-0002-0769-5912","journal-article","American Physical Society (APS)"
"10.1103/physrevx.9.031012","Physical Review X","Attack and Defense in Cellular Decision-Making: Lessons from Machine Learning","Thomas J.","journal-article","American Physical Society (APS)"
"10.1103/physrevlett.110.218102","Physical Review Letters","Principles of Adaptive Sorting Revealed by<i>In Silico</i>Evolution","Jean-Benoît","journal-article","American Physical Society (APS)"
"10.1103/physrevlett.110.188101","Physical Review Letters","Kinetic versus Energetic Discrimination in Biological Copying","Pablo","journal-article","American Physical Society (APS)"
"10.1534/genetics.113.153197","Genetics","Ribosome Biogenesis in the Yeast<i>Saccharomyces cerevisiae</i>","Jr.","journal-article","Oxford University Press (OUP)"
"10.1038/srep36314","Scientific Reports","Complete integrability of information processing by biochemical reactions","Elena","journal-article","Springer Science and Business Media LLC"
"10.1073/pnas.2026786118","Proceedings of the National Academy of Sciences","Physical bioenergetics: Energy fluxes, budgets, and constraints in cells","http://orcid.org/0000-0002-5798-4448","journal-article","Proceedings of the National Academy of Sciences"
"10.1016/0014-5793(86)80222-8","FEBS Letters","The excess GTP hydrolyzed during mistranslation is expended at the stage of EF‐Tu‐promoted binding of non‐cognate aminoacyl‐tRNA","D.G.","journal-article","Wiley"
"10.1016/0014-5793(85)80065-x","FEBS Letters","Effect of streptomycin on the stoichiometry of GTP hydrolysis in a poly(U)‐dependent cell‐free translation system","S.K.","journal-article","Wiley"
"10.3390/e25060881","Entropy","Improvement of Error Correction in Nonequilibrium Information Dynamics","Qian","journal-article","MDPI AG"
"10.1126/science.8446896","Science","GTP Hydrolysis in Protein Synthesis: Two for Tu?","Paul","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1021/bi1009776","Biochemistry","Polyamines Accelerate Codon Recognition by Transfer RNAs on the Ribosome","Byron","journal-article","American Chemical Society (ACS)"
"10.1016/j.tibs.2012.04.001","Trends in Biochemical Sciences","Staying on message: ensuring fidelity in pre-mRNA splicing","Daniel R.","journal-article","Elsevier BV"
"10.1016/j.tibs.2012.02.009","Trends in Biochemical Sciences","The spliceosome: a flexible, reversible macromolecular machine","Aaron A.","journal-article","Elsevier BV"
"10.1016/j.tibs.2006.07.006","Trends in Biochemical Sciences","Building functional modules from molecular interactions","Klaus Peter","journal-article","Elsevier BV"
"10.1016/s0021-9258(18)34436-3","Journal of Biological Chemistry","Template-prime-dependent turnover of (Sp)-dATP alpha S by T4 DNA polymerase. The stereochemistry of the associated 3' goes to 5'-exonuclease.","A","journal-article","Elsevier BV"
"10.1016/s0021-9258(17)33788-2","Journal of Biological Chemistry","On the fidelity of DNA replication. Enzyme activities associated with DNA polymerases from RNA tumor viruses.","G","journal-article","Elsevier BV"
"10.1074/jbc.m603388200","Journal of Biological Chemistry","Conformational Transitions as Determinants of Specificity for the DNA Methyltransferase EcoRI","Ben","journal-article","Elsevier BV"
"10.1074/jbc.m602870200","Journal of Biological Chemistry","Molecular Dynamics Simulations Show That Bound Mg2+ Contributes to Amino Acid and Aminoacyl Adenylate Binding Specificity in Aspartyl-tRNA Synthetase through Long Range Electrostatic Interactions","Damien","journal-article","Elsevier BV"
"10.1088/1742-5468/aace2d","Journal of Statistical Mechanics: Theory and Experiment","The advantage of foraging myopically","C L","journal-article","IOP Publishing"
"10.1016/j.jtbi.2007.07.025","Journal of Theoretical Biology","A mathematical model for human nucleotide excision repair: Damage recognition by random order assembly and kinetic proofreading","Kevin J.","journal-article","Elsevier BV"
"10.1038/ncomms13314","Nature Communications","How EF-Tu can contribute to efficient proofreading of aa-tRNA by the ribosome","Jeffrey K.","journal-article","Springer Science and Business Media LLC"
"10.1016/j.febslet.2014.07.013","FEBS Letters","smFRET studies of the ‘encounter’ complexes and subsequent intermediate states that regulate the selectivity of ligand binding","Colin D.","journal-article","Wiley"
"10.1371/journal.pone.0055230","PLoS ONE","New Measurement Methods of Network Robustness and Response Ability via Microarray Data","Chien-Ta","journal-article","Public Library of Science (PLoS)"
"10.1103/physrevx.7.021049","Physical Review X","Theory for Transitions Between Exponential and Stationary Phases: Universal Laws for Lag Time","Yusuke","journal-article","American Physical Society (APS)"
"10.1103/physrevx.7.021004","Physical Review X","Thermodynamics of Computational Copying in Biochemical Systems","Thomas E.","journal-article","American Physical Society (APS)"
"10.1103/physrevx.6.041064","Physical Review X","Nonequilibrium Thermodynamics of Chemical Reaction Networks: Wisdom from Stochastic Thermodynamics","Riccardo","journal-article","American Physical Society (APS)"
"10.1103/physrevx.6.021022","Physical Review X","Mimicking Nonequilibrium Steady States with Time-Periodic Driving","O.","journal-article","American Physical Society (APS)"
"10.1103/physrevx.5.041039","Physical Review X","Thermodynamics of Error Correction","Pablo","journal-article","American Physical Society (APS)"
"10.1103/physrevx.4.021016","Physical Review X","Discriminatory Proofreading Regimes in Nonequilibrium Systems","Arvind","journal-article","American Physical Society (APS)"
"10.1016/s0166-1280(02)00118-5","Journal of Molecular Structure: THEOCHEM","Theoretical investigation on the substitution effect of the hydrogen bond energy of the Watson–Crick type base pair between substituted 1-methyluracil and 9-methyladenine","Shun-ichi","journal-article","Elsevier BV"
"10.3389/fcimb.2019.00152","Frontiers in Cellular and Infection Microbiology","MicroRNA and Nonsense Transcripts as Putative Viral Evasion Mechanisms","Abhijeet A.","journal-article","Frontiers Media SA"
"10.1103/physreve.87.032702","Physical Review E","Tension on dsDNA bound to ssDNA-RecA filaments may play an important role in driving efficient and accurate homology recognition and strand exchange","Julea","journal-article","American Physical Society (APS)"
"10.1128/mcb.14.12.8107-8116.1994","Molecular and Cellular Biology","Special Peptidyl-tRNA Molecules Can Promote Translational Frameshifting without Slippage","Arunachalam","journal-article","Informa UK Limited"
"10.1073/pnas.2024300118","Proceedings of the National Academy of Sciences","Improved bounds on entropy production in living systems","Dominic J.","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.1420903112","Proceedings of the National Academy of Sciences","Chemodetection in fluctuating environments: Receptor coupling, buffering, and antagonism","Jean-Benoît","journal-article","Proceedings of the National Academy of Sciences"
"10.1016/s0165-2478(99)00030-9","Immunology Letters","A quantitative approach to signal transduction","Henry","journal-article","Elsevier BV"
"10.1016/s0165-2478(99)00031-0","Immunology Letters","Parameters determining the stimulatory capacity of the type I Fcε-receptor","Reinhard","journal-article","Elsevier BV"
"10.1016/j.tig.2009.07.005","Trends in Genetics","Robustness: mechanisms and consequences","Joanna","journal-article","Elsevier BV"
"10.1016/j.ceb.2023.102285","Current Opinion in Cell Biology","The ubiquitous nanocluster: A molecular scale organizing principle that governs cellular information flow","Maria F.","journal-article","Elsevier BV"
"10.1126/science.aau5721","Science","A molecular assembly phase transition and kinetic proofreading modulate Ras activation by SOS","http://orcid.org/0000-0002-6061-8887","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1126/science.aaw6434","Science","Dwelling at membranes promotes decisive signaling","Erik W.","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1088/0953-8984/18/14/s03","Journal of Physics: Condensed Matter","Electrostatics of DNA–DNA juxtapositions: consequences for type II topoisomerase function","Graham L","journal-article","IOP Publishing"
"10.1016/s0968-0004(03)00066-5","Trends in Biochemical Sciences","Insights into the decoding mechanism from recent ribosome structures","James M.","journal-article","Elsevier BV"
"10.1016/s0021-9258(19)70100-8","Journal of Biological Chemistry","A GTPase reaction accompanying the rejection of Leu-tRNA2 by UUU-programmed ribosomes. Proofreading of the codon-anticodon interaction by ribosomes.","R.C.","journal-article","Elsevier BV"
"10.1016/s0021-9258(17)43845-2","Journal of Biological Chemistry","The elongation factor Tu from Escherichia coli, aminoacyl-tRNA, and guanosine tetraphosphate form a ternary complex which is bound by programmed ribosomes.","A","journal-article","Elsevier BV"
"10.1016/s0021-9258(17)38194-2","Journal of Biological Chemistry","D(M6ATP) as a probe of the fidelity of base incorporation into polynucleotides by Escherichia coli DNA polymerase I.","J.D.","journal-article","Elsevier BV"
"10.1111/j.1742-4658.2011.08283.x","The FEBS Journal","The dynamics of the nucleosome: thermal effects, external forces and ATP","Ralf","journal-article","Wiley"
"10.1021/cr300513p","Chemical Reviews","Transcription Factories: Genome Organization and Gene Regulation","Argyris","journal-article","American Chemical Society (ACS)"
"10.1016/j.molcel.2010.10.020","Molecular Cell","RecA-Mediated Homology Search as a Nearly Optimal Signal Detection System","Yonatan","journal-article","Elsevier BV"
"10.1016/j.molcel.2010.07.014","Molecular Cell","The DEAH Box ATPases Prp16 and Prp43 Cooperate to Proofread 5′ Splice Site Cleavage during Pre-mRNA Splicing","Prakash","journal-article","Elsevier BV"
"10.1016/j.molcel.2010.06.009","Molecular Cell","Hyperaccurate and Error-Prone Ribosomes Exploit Distinct Mechanisms during tRNA Selection","Hani S.","journal-article","Elsevier BV"
"10.1016/0014-5793(82)80693-5","FEBS Letters","A stereospecific mechanism for the aminoacyl‐tRNA selection at the ribosome","Anatoly P.","journal-article","Wiley"
"10.1007/bf01960616","Experientia","DNA polymerases in prokaryotes and eukaryotes: Mode of action and biological implications","U.","journal-article","Springer Science and Business Media LLC"
"10.1002/ange.201001436","Angewandte Chemie","Die Aufklärung der Ribosomenstruktur (Nobel‐Aufsatz)","V.","journal-article","Wiley"
"10.1021/jacs.6b05628","Journal of the American Chemical Society","Nonequilibrium Hybridization Enables Discrimination of a Point Mutation within 5–40 °C","Maria","journal-article","American Chemical Society (ACS)"
"10.1083/jcb.201804136","Journal of Cell Biology","Dynamic instability of clathrin assembly provides proofreading control for endocytosis","http://orcid.org/0000-0002-5516-0269","journal-article","Rockefeller University Press"
"10.1063/5.0094307","The Journal of Chemical Physics","Discrete stochastic models of SELEX: Aptamer capture probabilities and protocol optimization","http://orcid.org/0000-0001-5918-7525","journal-article","AIP Publishing"
"10.1088/1367-2630/ab1043","New Journal of Physics","How aging may be an unavoidable fate of dynamical systems","Maximilian","journal-article","IOP Publishing"
"10.1016/j.tpb.2019.03.007","Theoretical Population Biology","Match fitness landscapes for macromolecular interaction networks: Selection for translational accuracy and rate can displace tRNA-binding interfaces of non-cognate aminoacyl-tRNA synthetases","Andrea I.","journal-article","Elsevier BV"
"10.1103/physrevresearch.2.033524","Physical Review Research","Balancing error and dissipation in computing","http://orcid.org/0000-0002-0135-3778","journal-article","American Physical Society (APS)"
"10.1007/bf02705188","Journal of Biosciences","Chemistry of aminoacylation and peptide bond formation on the 3′terminus of tRNA","Mathias","journal-article","Springer Science and Business Media LLC"
"10.1016/j.jmb.2018.05.040","Journal of Molecular Biology","Protein Clusters in Phosphotyrosine Signal Transduction","Bruce J.","journal-article","Elsevier BV"
"10.1016/j.physrep.2011.09.001","Physics Reports","Stochastic theory of nonequilibrium steady states. Part II: Applications in chemical biophysics","Hao","journal-article","Elsevier BV"
"10.7124/bc.0001ee","Biopolymers and Cell","Analysis of the kinetic scheme for the protein synthesis elongation stage according to the hypothesis of the stereospecific stabilization of the codon-anticodon complexes at ribosome. 2. The ratio of the rates of GTP splitting and polypeptide chain elongation","A. P.","journal-article","Institute of Molecular Biology and Genetics (NAS Ukraine)"
"10.1007/s12064-021-00354-6","Theory in Biosciences","The biological Maxwell's demons: exploring ideas about the information processing in biological systems","http://orcid.org/0000-0001-6938-8427","journal-article","Springer Science and Business Media LLC"
"10.1007/s12064-021-00342-w","Theory in Biosciences","The essence of life revisited: how theories can shed light on it","http://orcid.org/0000-0001-6670-3006","journal-article","Springer Science and Business Media LLC"
"10.1007/s12064-011-0134-z","Theory in Biosciences","Tunable kinetic proofreading in a model with molecular frustration","Andre M.","journal-article","Springer Science and Business Media LLC"
"10.1128/mcb.00165-16","Molecular and Cellular Biology","Phosphorylation of a Tyrosine Residue on Zap70 by Lck and Its Subsequent Binding via an SH2 Domain May Be a Key Gatekeeper of T Cell Receptor Signaling <i>In Vivo</i>","Peter A.","journal-article","Informa UK Limited"
"10.1073/pnas.97.20.10679","Proceedings of the National Academy of Sciences","Breaking the affinity ceiling for antibodies and T cell receptors","Jefferson","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.121171998","Proceedings of the National Academy of Sciences","Unexpected signals in a system subject to kinetic proofreading","Zhao-Jun","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.1300752110","Proceedings of the National Academy of Sciences","Phenotypic model for early T-cell activation displaying sensitivity, specificity, and antagonism","Paul","journal-article","Proceedings of the National Academy of Sciences"
"10.1038/nature07582","Nature","Quality control by the ribosome following peptide bond formation","Hani S.","journal-article","Springer Science and Business Media LLC"
"10.1038/278857a0","Nature","Mutagenesis in vitro by DNA polymerase from an RNA tumour virus","K. P.","journal-article","Springer Science and Business Media LLC"
"10.1038/nphys3230","Nature Physics","Thermodynamics of information","Juan M. R.","journal-article","Springer Science and Business Media LLC"
"10.1016/j.coisb.2022.100438","Current Opinion in Systems Biology","Transcription factor binding and activity on chromatin","http://orcid.org/0000-0002-2804-8378","journal-article","Elsevier BV"
"10.1016/j.coisb.2022.100434","Current Opinion in Systems Biology","The energetics of activator–promoter recognition","http://orcid.org/0000-0001-9933-8551","journal-article","Elsevier BV"
"10.1016/j.coisb.2022.100435","Current Opinion in Systems Biology","Eukaryotic gene regulation at equilibrium, or non?","Benjamin","journal-article","Elsevier BV"
"10.1038/nri1374","Nature Reviews Immunology","Mathematical and computational models of immune-receptor signalling","Byron","journal-article","Springer Science and Business Media LLC"
"10.1002/bies.202300188","BioEssays","Design patterns of biological cells","http://orcid.org/0000-0002-4576-8107","journal-article","Wiley"
"10.1021/acs.jpcb.9b03757","The Journal of Physical Chemistry B","Trade-Offs between Error, Speed, Noise, and Energy Dissipation in Biological Processes with Proofreading","Joel D.","journal-article","American Chemical Society (ACS)"
"10.1016/j.cell.2021.03.007","Cell","Programmable protein circuit design","Zibo","journal-article","Elsevier BV"
"10.1038/nsmb1183","Nature Structural &amp; Molecular Biology","Mutational analysis reveals two independent molecular requirements during transfer RNA selection on the ribosome","Luisa","journal-article","Springer Science and Business Media LLC"
"10.1038/nsmb1093","Nature Structural &amp; Molecular Biology","Exon ligation is proofread by the DExD/H-box ATPase Prp22p","Rabiah M","journal-article","Springer Science and Business Media LLC"
"10.1038/nsmb831","Nature Structural &amp; Molecular Biology","tRNA selection and kinetic proofreading in translation","Scott C","journal-article","Springer Science and Business Media LLC"
"10.1074/jbc.r117.807453","Journal of Biological Chemistry","Molecular mechanisms and genomic maps of DNA excision repair in Escherichia coli and humans","Jinchuan","journal-article","Elsevier BV"
"10.7554/elife.74509","eLife","Synthetic reconstruction of the hunchback promoter specifies the role of Bicoid, Zelda and Hunchback in the dynamics of its transcription","http://orcid.org/0000-0001-8352-2581","journal-article","eLife Sciences Publications, Ltd"
"10.1007/bf00328706","Molecular and General Genetics MGG","Kinetic impairment of restrictive streptomycin-resistant ribosomes","K.","journal-article","Springer Science and Business Media LLC"
"10.1007/bf00326064","Molecular and General Genetics MGG","Characterization of mutants of Escherichia coli with an increased control of translation fidelity","P.","journal-article","Springer Science and Business Media LLC"
"10.1088/1742-5468/2015/00/p07025","Journal of Statistical Mechanics: Theory and Experiment","Energy dissipation in an adaptive molecular circuit","Shou-Wen","journal-article","IOP Publishing"
"10.1088/1742-5468/2015/06/p06001","Journal of Statistical Mechanics: Theory and Experiment","Thermodynamics of accuracy in kinetic proofreading: dissipation and efficiency trade-offs","Riccardo","journal-article","IOP Publishing"
"10.1002/pmic.201300187","PROTEOMICS","Beyond antibodies: New affinity reagents to unlock the proteome","Bridget","journal-article","Wiley"
"10.1111/j.1432-1033.1997.00408.x","European Journal of Biochemistry","Contribution of Arg288 of Escherichia Coli Elongation Factor Tu to Translational Functionality","Thomas","journal-article","Wiley"
"10.1038/ncomms12307","Nature Communications","Intrinsic limits to gene regulation by global crosstalk","Tamar","journal-article","Springer Science and Business Media LLC"
"10.1093/nar/gkp041","Nucleic Acids Research","The why and how of DNA unlinking","Zhirong","journal-article","Oxford University Press (OUP)"
"10.1016/0014-5793(85)81015-2","FEBS Letters","On the physico‐chemical rationale of the genetic code","Jaanus","journal-article","Wiley"
"10.1016/j.febslet.2013.05.009","FEBS Letters","New structural insights into the decoding mechanism: Translation infidelity via a G·U pair with Watson–Crick geometry","Natalia","journal-article","Wiley"
"10.1371/journal.pone.0100635","PLoS ONE","A Stochastic Chemical Dynamic Approach to Correlate Autoimmunity and Optimal Vitamin-D Range","Susmita","journal-article","Public Library of Science (PLoS)"
"10.1021/ja1061399","Journal of the American Chemical Society","Connecting Energy Landscapes with Experimental Rates for Aminoacyl-tRNA Accommodation in the Ribosome","Paul C.","journal-article","American Chemical Society (ACS)"
"10.1007/s00422-020-00846-6","Biological Cybernetics","Optimizing enzymatic catalysts for rapid turnover of substrates with low enzyme sequestration","http://orcid.org/0000-0003-0163-6564","journal-article","Springer Science and Business Media LLC"
"10.1103/physrevlett.126.080601","Physical Review Letters","Inverse Power Law Scaling of Energy Dissipation Rate in Nonequilibrium Reaction Networks","http://orcid.org/0000-0003-0610-3484","journal-article","American Physical Society (APS)"
"10.1103/physrevlett.109.118103","Physical Review Letters","Kinetic Control of Nucleosome Displacement by ISWI/ACF Chromatin Remodelers","Ana-Maria","journal-article","American Physical Society (APS)"
"10.3389/fbioe.2020.00893","Frontiers in Bioengineering and Biotechnology","Novel Tunable Spatio-Temporal Patterns From a Simple Genetic Oscillator Circuit","Guillermo","journal-article","Frontiers Media SA"
"10.1209/0295-5075/96/60004","EPL (Europhysics Letters)","Transcriptional proofreading in dense RNA polymerase traffic","Mamata","journal-article","IOP Publishing"
"10.1103/physreve.85.061920","Physical Review E","Stochastic description of single nucleosome repositioning by ACF remodelers","Yves","journal-article","American Physical Society (APS)"
"10.1016/j.celrep.2013.09.007","Cell Reports","Intermittent Transcription Dynamics for the Rapid Production of Long Transcripts of High Fidelity","Martin","journal-article","Elsevier BV"
"10.4049/jimmunol.172.5.2994","The Journal of Immunology","A Peptide That Antagonizes TCR-Mediated Reactions with Both Syngeneic and Allogeneic Agonists: Functional and Structural Aspects","Markus G.","journal-article","The American Association of Immunologists"
"10.1007/s00294-019-00995-7","Current Genetics","Moving forward one step back at a time: reversibility during homologous recombination","Aurèle","journal-article","Springer Science and Business Media LLC"
"10.1002/wrna.24","WIREs RNA","Nuclear quality control of RNA polymerase II transcripts","Manfred","journal-article","Wiley"
"10.1073/pnas.2006731117","Proceedings of the National Academy of Sciences","Nonequilibrium models of optimal enhancer function","Rok","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.0305962101","Proceedings of the National Academy of Sciences","Fluorescence correlation spectroscopy with high-order and dual-color correlation to probe nonequilibrium steady states","Hong","journal-article","Proceedings of the National Academy of Sciences"
"10.1016/s0006-3495(02)75633-6","Biophysical Journal","The Role of Proofreading in Signal Transduction Specificity","Peter S.","journal-article","Elsevier BV"
"10.1016/s0006-3495(00)76531-3","Biophysical Journal","Fluctuations in Repressor Control: Thermodynamic Constraints on Stochastic Focusing","Otto G.","journal-article","Elsevier BV"
"10.7554/elife.81608","eLife","Didemnin B and ternatin-4 differentially inhibit conformational changes in eEF1A required for aminoacyl-tRNA accommodation into mammalian ribosomes","http://orcid.org/0000-0002-8760-8080","journal-article","eLife Sciences Publications, Ltd"
"10.7554/elife.75263","eLife","Progressive enhancement of kinetic proofreading in T cell antigen discrimination from receptor activation to DAG generation","http://orcid.org/0000-0002-3139-3797","journal-article","eLife Sciences Publications, Ltd"
"10.1038/s41467-023-40404-9","Nature Communications","Geometric alignment of aminoacyl-tRNA relative to catalytic centers of the ribosome underpins accurate mRNA decoding","http://orcid.org/0000-0001-5753-8109","journal-article","Springer Science and Business Media LLC"
"10.1021/bi00319a029","Biochemistry","Stereochemical course of the 3' .fwdarw. 5'-exonuclease activity of DNA polymerase I","Amar P.","journal-article","American Chemical Society (ACS)"
"10.1126/sciadv.abl9812","Science Advances","Preferred synonymous codons are translated more accurately: Proteomic evidence, among-species variation, and mechanistic basis","http://orcid.org/0000-0003-0842-8098","journal-article","American Association for the Advancement of Science (AAAS)"
"10.1007/s12192-019-00998-w","Cell Stress and Chaperones","The first Autumn School on Proteostasis: from molecular mechanisms to organismal consequences","Edgar","journal-article","Elsevier BV"
"10.1074/jbc.271.2.646","Journal of Biological Chemistry","Initial Binding of the Elongation Factor Tu·GTP·Aminoacyl-tRNA Complex Preceding Codon Recognition on the Ribosome","Marina V.","journal-article","Elsevier BV"
"10.1016/s0021-9258(19)86519-5","Journal of Biological Chemistry","Role of ribosomal protein S12 in discrimination of aminoacyl-tRNA.","J.L.","journal-article","Elsevier BV"
"10.1016/s0021-9258(18)54888-2","Journal of Biological Chemistry","DNA footprinting studies of the complex formed by the T4 DNA polymerase holoenzyme at a primer-template junction.","M.M.","journal-article","Elsevier BV"
"10.1074/jbc.m507470200","Journal of Biological Chemistry","Actin Binding to the Central Domain of WASP/Scar Proteins Plays a Critical Role in the Activation of the Arp2/3 Complex","Alexander E.","journal-article","Elsevier BV"
"10.1088/1742-5468/2010/10/p10009","Journal of Statistical Mechanics: Theory and Experiment","The many faces of the second law","C","journal-article","IOP Publishing"
"10.1016/j.jtbi.2006.04.009","Journal of Theoretical Biology","Classification of the possible pairs between the first anticodon and the third codon positions based on a simple model assuming two geometries with which the pairing effectively potentiates the decoding complex","Kazuyuki","journal-article","Elsevier BV"
"10.1128/jvi.25.1.73-77.1978","Journal of Virology","Mutator and antimutator phenotypes of suppressed amber mutants in genes 32, 41, 44, 45, and 62 in bacteriophage T4","S M","journal-article","American Society for Microbiology"
"10.1128/jvi.79.18.11555-11558.2005","Journal of Virology","Adaptive Value of High Mutation Rates of RNA Viruses: Separating Causes from Consequences","Santiago F.","journal-article","American Society for Microbiology"
"10.1111/j.1432-1033.1982.tb07006.x","European Journal of Biochemistry","Increase of Fidelity of Polypeptide Synthesis by Spermidine in Eukaryotic Cell‐Free Systems","Kazuei","journal-article","Wiley"
"10.1111/j.1432-1033.1981.tb06298.x","European Journal of Biochemistry","Effects of Antibiotics, <i>N</i>‐Acetylaminoacyl‐tRNA and Other Agents on the Elongation‐Factor‐Tu Dependent and Ribosome‐Dependent GTP Hydrolysis Promoted by 2′(3′)‐<i>O</i>‐<scp>l</scp>‐Phenylalanyladenosine","Sonsoles","journal-article","Wiley"
"10.1038/s41467-020-19395-4","Nature Communications","From deterministic to fuzzy decision-making in artificial cells","http://orcid.org/0000-0003-2908-4386","journal-article","Springer Science and Business Media LLC"
"10.1016/0014-5793(81)80076-2","FEBS Letters","Initiation of eukaryotic protein synthesis","A.A.M","journal-article","Wiley"
"10.1016/j.febslet.2011.12.024","FEBS Letters","Scaling up synthetic biology: Do not forget the chassis","Antoine","journal-article","Wiley"
"10.1146/annurev-biochem-040320-103630","Annual Review of Biochemistry","Kinetic Proofreading","Hinrich","journal-article","Annual Reviews"
"10.1146/annurev-biochem-071921-122857","Annual Review of Biochemistry","The Structural Dynamics of Translation","Andrei A.","journal-article","Annual Reviews"
"10.1146/annurev-biochem-060815-014818","Annual Review of Biochemistry","How Messenger RNA and Nascent Chain Sequences Regulate Translation Elongation","Junhong","journal-article","Annual Reviews"
"10.1146/annurev-biochem-060614-034150","Annual Review of Biochemistry","The Balbiani Ring Story: Synthesis, Assembly, Processing, and Transport of Specific Messenger RNA–Protein Complexes","Petra","journal-article","Annual Reviews"
"10.1146/annurev-biochem-060713-035546","Annual Review of Biochemistry","RNA Helicase Proteins as Chaperones and Remodelers","Inga","journal-article","Annual Reviews"
"10.1146/annurev-biochem-113009-092313","Annual Review of Biochemistry","Structural Basis of the Translational Elongation Cycle","Rebecca M.","journal-article","Annual Reviews"
"10.1146/annurev-biochem-060408-173330","Annual Review of Biochemistry","Structure and Dynamics of a Processive Brownian Motor: The Translating Ribosome","Joachim","journal-article","Annual Reviews"
"10.1146/annurev.biochem.77.070606.101431","Annual Review of Biochemistry","Translation at the Single-Molecule Level","R. Andrew","journal-article","Annual Reviews"
"10.1146/annurev.biochem.74.061903.155440","Annual Review of Biochemistry","STRUCTURAL INSIGHTS INTO TRANSLATIONAL FIDELITY","James M.","journal-article","Annual Reviews"
"10.1146/annurev.biochem.73.011303.073723","Annual Review of Biochemistry","Molecular Mechanisms of Mammalian DNA Repair and the DNA Damage Checkpoints","Aziz","journal-article","Annual Reviews"
"10.1016/j.ymeth.2019.02.014","Methods","Free energy calculations of RNA interactions","Christoffer","journal-article","Elsevier BV"
"10.15406/mojabb.2018.02.00043","MOJ Applied Bionics and Biomechanics","How to avoid DAD?","Harold","journal-article","MedCrave Group, LLC"
"10.1002/ijch.201400018","Israel Journal of Chemistry","How Simulations Reveal Dynamics, Disorder, and the Energy Landscapes of Biomolecular Function","Jeffrey K.","journal-article","Wiley"
"10.1119/5.0060279","American Journal of Physics","Resource Letter BP-1: Biological physics","Raghuveer","journal-article","American Association of Physics Teachers (AAPT)"
"10.1111/j.1365-2958.1992.tb01516.x","Molecular Microbiology","Elongation factor Tu: a molecular switch in protein biosynthesis","Albert","journal-article","Wiley"
"10.1128/mcb.5.4.816-822.1985","Molecular and Cellular Biology","Isolation of the <i>SUP45</i> Omnipotent Suppressor Gene of <i>Saccharomyces cerevisiae</i> and Characterization of Its Gene Product","H. J.","journal-article","Informa UK Limited"
"10.1073/pnas.2008509117","Proceedings of the National Academy of Sciences","β-Catenin signaling dynamics regulate cell fate in differentiating neural stem cells","http://orcid.org/0000-0001-9208-5387","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.2010804117","Proceedings of the National Academy of Sciences","Multistep substrate binding and engagement by the AAA+ ClpXP protease","Reuben A.","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.2008303117","Proceedings of the National Academy of Sciences","How the T cell signaling network processes information to discriminate between self and agonist ligands","Raman S.","journal-article","Proceedings of the National Academy of Sciences"
"10.1073/pnas.0808831105","Proceedings of the National Academy of Sciences","Determination of cell fate selection during phage lambda infection","François","journal-article","Proceedings of the National Academy of Sciences"
"10.1016/s0006-3495(03)74955-8","Biophysical Journal","Amplifying Signal Transduction Specificity without Multiple Phosphorylation","Hong","journal-article","Elsevier BV"
"10.1038/35107180","Nature","Six steps to destruction","Jr","journal-article","Springer Science and Business Media LLC"
"10.1002/qua.560160712","International Journal of Quantum Chemistry","Proton transitions in hydrogen bonds of DNA: A first-order perturbation model","W. Grant","journal-article","Wiley"
